Station Code,Station Name,Planning Area,Region,NS,EW,CG,NE,BP LRT,Sengkang LRT,Punggol LRT,CC,DT,TE,LRT/MRT,No of lines,No of lines opened,Line 1,Line 2,Line 3,Opening 1,Opening 2,Opening 3,Bus Interchange,Bus Terminal,Others,Connections to Other,Connection to other transport means
NS8,Marsiling,Woodlands,NORTH,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,NS,NA,NA,10/2/1996,NA,NA,FALSE,FALSE,FALSE,0,
CC16,Marymount,Bishan,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,1,CC,NA,NA,28/5/2009,NA,NA,FALSE,FALSE,FALSE,0,
DT25,Mattar,Geylang,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,1,1,DT,NA,NA,21/10/2017,NA,NA,FALSE,FALSE,FALSE,0,
TE18,Maxwell,Downtown Core,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
TE6,Mayflower,Ang Mo Kio,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
PE2,Meridian,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,1,Punggol LRT,NA,NA,29/1/2005,NA,NA,FALSE,FALSE,FALSE,0,
TE10,Mount Pleasant,Novena,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
CC7,Mountbatten,Geylang,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,1,CC,NA,NA,17/4/2010,NA,NA,FALSE,FALSE,FALSE,0,
TE12,Napier,Tanglin,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
NS21 DT11,Newton,Newton,CENTRAL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,2,2,NS,DT,NA,12/12/1987,27/12/2015,NA,FALSE,FALSE,FALSE,0,
PW5,Nibong,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,1,Punggol LRT,NA,NA,29/6/2014,NA,NA,FALSE,FALSE,FALSE,0,
CC5,Nicoll Highway,Kallang,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,1,CC,NA,NA,17/4/2010,NA,NA,FALSE,FALSE,FALSE,0,
NS20,Novena,Novena,CENTRAL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,NS,NA,NA,12/12/1987,NA,NA,FALSE,FALSE,FALSE,0,
PE6,Oasis,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,1,Punggol LRT,NA,NA,15/6/2007,NA,NA,FALSE,FALSE,FALSE,0,
CC23,one-north,Queenstown,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,1,CC,NA,NA,8/10/2011,NA,NA,FALSE,FALSE,FALSE,0,
NS22 TE14,Orchard,Orchard,CENTRAL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,2,1,NS,TE,NA,12/12/1987,TBA,NA,FALSE,FALSE,FALSE,0,
TE13,Orchard Boulevard,Orchard,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
EW16 NE3 TE17,Outram Park,Bukit Merah,CENTRAL,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,3,2,EW,NE,TE,12/12/1987,20/6/2003,TBA,FALSE,TRUE,FALSE,1, New Bridge Road Bus Terminal
CC26,Pasir Panjang,Queenstown,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,1,CC,NA,NA,8/10/2011,NA,NA,FALSE,FALSE,FALSE,0,
EW1,Pasir Ris,Pasir Ris,EAST,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,16/12/1989,NA,NA,TRUE,FALSE,FALSE,1, Pasir Ris Bus Interchange
EW8 CC9,Paya Lebar,Geylang,CENTRAL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,2,2,EW,CC,NA,4/11/1989,17/4/2010,NA,FALSE,FALSE,FALSE,0,
BP8,Pending,Bukit Panjang,WEST,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,BP LRT,NA,NA,6/11/1999,NA,NA,FALSE,FALSE,FALSE,0,
BP7,Petir,Bukit Panjang,WEST,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,BP LRT,NA,NA,6/11/1999,NA,NA,FALSE,FALSE,FALSE,0,
BP5,Phoenix,Bukit Panjang,WEST,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,BP LRT,NA,NA,6/11/1999,NA,NA,FALSE,FALSE,FALSE,0,
EW28,Pioneer,Jurong West,WEST,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,28/2/2009,NA,NA,FALSE,FALSE,FALSE,0,
NE10,Potong Pasir,Toa Payoh,CENTRAL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,NE,NA,NA,20/6/2003,NA,NA,FALSE,FALSE,FALSE,0,
CC32,Prince Edward,Downtown Core,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,0,CC,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
CC4 DT15,Promenade,Downtown Core,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,MRT,2,2,CC,DT,NA,17/4/2010,22/12/2013,NA,FALSE,TRUE,FALSE,1, Marina Centre Bus Terminal
NE17 PTC,Punggol,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Both,2,2,NE,Punggol LRT,NA,20/6/2003,29/1/2005,NA,TRUE,FALSE,FALSE,1, Punggol Temporary Bus Interchange
NE18,Punggol Coast,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,0,NE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
PW3,Punggol Point,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,1,Punggol LRT,NA,NA,29/12/2016,NA,NA,FALSE,FALSE,FALSE,0,
EW19,Queenstown,Queenstown,CENTRAL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,12/3/1988,NA,NA,FALSE,FALSE,FALSE,0,
NS26 EW14,Raffles Place,Downtown Core,CENTRAL,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,2,2,NS,EW,NA,12/12/1987,12/12/1987,NA,FALSE,FALSE,FALSE,0,
SE5,Ranggung,Sengkang,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,Sengkang LRT,NA,NA,18/1/2003,NA,NA,FALSE,FALSE,FALSE,0,
EW18,Redhill,Bukit Merah,CENTRAL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,12/3/1988,NA,NA,FALSE,FALSE,FALSE,0,
SW8,Renjong,Sengkang,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,Sengkang LRT,NA,NA,29/1/2005,NA,NA,FALSE,FALSE,FALSE,0,
PE4,Riviera,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,1,Punggol LRT,NA,NA,29/1/2005,NA,NA,FALSE,FALSE,FALSE,0,
DT13,Rochor,Rochor,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,1,1,DT,NA,NA,27/12/2015,NA,NA,FALSE,FALSE,FALSE,0,
SE2,Rumbia,Sengkang,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,Sengkang LRT,NA,NA,18/1/2003,NA,NA,FALSE,FALSE,FALSE,0,
