HDB Address,Vincenty Distance in km,MRT Station Code,Walking Distance in Meters ,Walking Duration in Minutes,Station Name,NS,EW,CG,NE,BP LRT,Sengkang LRT,Punggol LRT,CC,DT,TE,LRT/MRT,No of lines,No of lines opened,Line 1,Line 2,Line 3,Opening 1,Opening 2,Opening 3,Bus Interchange,Bus Terminal,Others,Connections to Other,n_bus_station_1_km,n_subway_station_1_km,n_cafe_1_km,n_restaurant_1_km,n_school_1_km,n_shopping_mall_1_km,n_supermarket_1_km,n_park_1_km,n_bus_station_0.5_km,n_subway_station_0.5_km,n_cafe_0.5_km,n_restaurant_0.5_km,n_school_0.5_km,n_shopping_mall_0.5_km,n_supermarket_0.5_km,n_park_0.5_km
Blk+136+TECK+WHYE+LANE+Singapore,0.35135807378398626,BP4,823,10.16666667,Teck Whye,False,False,False,False,True,False,False,False,False,False,LRT,1,1,BP LRT,,,6/11/1999,,,False,False,False,0,50,3,19,60,53,5,16,5,18,2,7,18,19,1,9,2
Blk+312+UBI+AVE+1+Singapore,0.10478565465669047,DT27,137,1.8333333330000001,Ubi,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,45,2,31,60,35,5,13,8,17,1,8,42,16,3,9,0
Blk+462+HOUGANG+AVE+10+Singapore,0.2597078738851581,NE14,786,9.166666667000001,Hougang,False,False,False,True,False,False,False,False,False,False,MRT,1,1,NE,,,20/6/2003,,,True,False,False,1,60,1,33,60,46,2,19,8,19,1,21,60,12,2,8,1
Blk+698A+HOUGANG+ST+61+Singapore,0.7610404006662409,NE14,1106,13.76666667,Hougang,False,False,False,True,False,False,False,False,False,False,MRT,1,1,NE,,,20/6/2003,,,True,False,False,1,60,1,29,60,56,6,18,9,20,0,6,60,20,2,9,2
Blk+659+HOUGANG+AVE+8+Singapore,1.0903189364966273,NE14,1829,22.51666667,Hougang,False,False,False,True,False,False,False,False,False,False,MRT,1,1,NE,,,20/6/2003,,,True,False,False,1,60,0,18,60,60,5,15,7,22,0,12,60,23,2,7,5
Blk+561+HOUGANG+ST+51+Singapore,0.5402081710815805,NE15,1275,15.6,Buangkok,False,False,False,True,False,False,False,False,False,False,MRT,1,1,NE,,,15/1/2006,,,False,False,False,0,60,2,18,60,50,3,15,6,16,0,3,21,15,2,3,0
Blk+262+JURONG+EAST+ST+24+Singapore,0.9701701320831913,EW25,1353,17.78333333,Chinese Garden,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,5/11/1988,,,False,False,False,0,55,1,34,60,60,3,20,1,9,0,11,31,13,0,11,0
Blk+228+JURONG+EAST+ST+21+Singapore,0.41676365976490864,EW25,733,9.983333333,Chinese Garden,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,5/11/1988,,,False,False,False,0,53,1,31,60,60,0,13,3,16,1,5,30,12,0,4,0
Blk+112+HO+CHING+RD+Singapore,1.187601251348277,EW26,1443,17.36666667,Lakeside,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,5/11/1988,,,False,False,False,0,49,0,10,54,27,2,6,6,20,0,8,24,9,1,5,0
Blk+863+JURONG+WEST+ST+81+Singapore,1.3315329781229626,EW28,1821,23.31666667,Pioneer,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,28/2/2009,,,False,False,False,0,51,0,11,37,44,4,10,4,12,0,6,10,15,1,3,2
Blk+102+JLN+DUSUN+Singapore,0.5696087631168791,TE10,840,10.36666667,Mount Pleasant,False,False,False,False,False,False,False,False,False,True,MRT,1,0,TE,,,TBA,,,False,False,False,0,47,2,60,60,60,16,13,8,12,0,8,33,16,5,3,5
Blk+110+MCNAIR+RD+Singapore,0.40989645624482174,DT23,791,9.816666667,Bendemeer,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,49,1,39,60,53,8,18,2,11,1,7,46,18,0,6,1
Blk+16+MARINE+TER+Singapore,1.8533241280291672,EW6,2535,31.56666667,Kembangan,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,4/11/1989,,,False,False,False,0,44,0,31,60,60,1,9,7,16,0,6,21,15,0,2,4
Blk+706+PASIR+RIS+DR+10+Singapore,1.503945504097863,EW1,1995,24.46666667,Pasir Ris,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,16/12/1989,,,True,False,False,1,44,0,6,34,21,3,6,6,18,0,2,14,12,2,3,2
Blk+158+PASIR+RIS+ST+13+Singapore,1.350835783649913,DT33,2296,29.11666667,Tampines East,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,60,0,7,24,33,1,9,6,18,0,2,7,13,1,4,3
Blk+618A+PUNGGOL+DR+Singapore,0.19572984819373854,PE6,724,8.7,Oasis,False,False,False,False,False,False,True,False,False,False,LRT,1,1,Punggol LRT,,,15/6/2007,,,False,False,False,0,50,4,10,31,50,2,13,7,15,1,2,5,12,1,5,3
Blk+618D+PUNGGOL+DR+Singapore,0.2483151762564285,PE6,663,7.966666667,Oasis,False,False,False,False,False,False,True,False,False,False,LRT,1,1,Punggol LRT,,,15/6/2007,,,False,False,False,0,52,4,10,30,52,2,13,7,15,1,2,5,14,1,5,4
Blk+619B+PUNGGOL+DR+Singapore,0.3280606498143604,PE6,618,7.416666667,Oasis,False,False,False,False,False,False,True,False,False,False,LRT,1,1,Punggol LRT,,,15/6/2007,,,False,False,False,0,47,3,11,33,48,2,13,6,16,1,3,5,12,1,5,5
Blk+145+MEI+LING+ST+Singapore,0.16221408823554906,EW19,560,7.2,Queenstown,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,False,False,False,0,51,1,58,60,45,7,12,6,17,1,9,32,17,0,6,1
Blk+225A+COMPASSVALE+WALK+Singapore,0.4105567817915495,SE5,674,8.2,Ranggung,False,False,False,False,False,True,False,False,False,False,LRT,1,1,Sengkang LRT,,,18/1/2003,,,False,False,False,0,60,7,33,60,57,5,15,5,23,1,7,19,19,1,5,0
Blk+801+TAMPINES+AVE+4+Singapore,0.2267255088957397,DT31,599,7.466666667,Tampines West,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,42,1,47,60,60,6,20,7,13,1,10,52,20,0,6,0
Blk+242+TAMPINES+ST+21+Singapore,1.4483103227666068,EW1,1973,24.36666667,Pasir Ris,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,16/12/1989,,,True,False,False,1,60,0,17,60,39,2,12,9,18,0,1,5,9,0,3,2
Blk+203+TAMPINES+ST+21+Singapore,0.472207790402535,DT33,929,11.6,Tampines East,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,60,2,48,60,60,11,27,11,18,0,6,36,29,2,5,3
Blk+497F+TAMPINES+ST+45+Singapore,0.7224201279806752,DT33,992,12.68333333,Tampines East,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,57,1,13,60,60,3,16,6,16,0,0,4,8,0,3,1
Blk+71+LOR+4+TOA+PAYOH+Singapore,0.6014736880637235,NS19,896,11.46666667,Toa Payoh,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,7/11/1987,,,True,False,False,1,60,2,60,60,60,4,20,11,25,0,29,60,15,1,5,3
Blk+12A+MARSILING+LANE+Singapore,1.057666082036912,NS9 TE2,1542,18.95,Woodlands,True,False,False,False,False,False,False,False,False,True,MRT,2,1,NS,TE,,10/2/1996,TBA,,True,False,False,1,58,0,52,60,27,3,4,5,18,0,8,25,10,0,1,0
Blk+12C+MARSILING+LANE+Singapore,1.057666082036912,NS9 TE2,1542,18.95,Woodlands,True,False,False,False,False,False,False,False,False,True,MRT,2,1,NS,TE,,10/2/1996,TBA,,True,False,False,1,58,0,52,60,27,3,4,5,18,0,8,25,10,0,1,0
Blk+315+WOODLANDS+ST+31+Singapore,0.2235616819102389,NS8,401,5.183333333,Marsiling,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,10/2/1996,,,False,False,False,0,42,1,49,60,39,1,9,4,18,1,26,52,20,1,7,0
Blk+860+WOODLANDS+ST+83+Singapore,0.8058759814299107,NS10,828,10.85,Admiralty,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,10/2/1996,,,False,False,False,0,60,2,55,60,60,11,19,7,21,0,2,11,20,1,4,1
Blk+308+WOODLANDS+AVE+1+Singapore,0.3929186071659581,NS8,571,7.2,Marsiling,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,10/2/1996,,,False,False,False,0,35,1,40,60,36,1,9,3,15,1,13,40,21,0,6,0
